Pond,Latitude,Longitude,HSI_2006,Best_Case,HSI_2015,GCN_2006,Peak_GCN_2015,Avg_GCN_2015,Round_Avg_GCN_2015
BB1,55.891318,-4.0711749,0.76,0.82,0.73,11,22,11.6,11
BB2,55.891269,-4.0709066,0.76,0.83,0.74,7,29,13.6,13
BB3,55.891474,-4.0705633,0.7,0.78,0.73,8,17,9.2,9
BB4,55.891763,-4.0702736,0.82,0.87,0.83,7,28,14,13
BB5,55.891561,-4.0686107,0.75,0.8,0.75,6,22,7.8,7
BB6,55.891883,-4.0684175,0.77,0.82,0.86,11,7,3.2,3
BB7,55.892103,-4.0685678,0.82,0.87,0.81,3,32,21.2,21
BB8,55.892187,-4.0681225,0.71,0.77,0.72,0,19,11,11
GQ1,55.889615,-4.0626884,0.74,0.8,0.73,0,3,1.6,1
GQ2,55.889116,-4.0626776,0.64,0.78,0.64,3,15,6.2,6
GQ3,55.889783,-4.0601134,0.74,0.81,0.76,5,54,33.8,33
GQ4,55.889705,-4.0604353,0.79,0.86,0.7,5,50,28.6,28
GQ5,55.889561,-4.060328,0.75,0.82,0.73,2,41,30.4,30
GQ6,55.889627,-4.059974,0.72,0.78,0.73,9,39,20.2,20
GQ7,55.889735,-4.0597808,0.77,0.82,0.67,1,11,10.2,10
RJ1,55.88509,-4.0629458,0.59,0.69,0.77,3,26,17,17
RJ2,55.88494,-4.0630746,0.51,0.64,0.66,3,27,12,12
RJ3,55.884886,-4.0632677,0.49,0.63,0.62,5,21,11.4,11
RJ4,55.884753,-4.0635788,0.52,0.62,0.62,3,40,26.6,26
RJ5,55.884687,-4.0637183,0,0.61,0.71,0,47,27.2,27
RJ6,55.884669,-4.0639436,0,0.63,0.75,3,34,26.2,26
SS1,55.891618,-4.0657032,0.35,0.64,0.68,0,5,1.8,1
SS2,55.891703,-4.0652418,0.22,0.66,0.63,1,5,2.4,2
SS3,55.891486,-4.0656924,0.37,0.67,0.65,0,3,1.6,1
